epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51511,1.30859,4.49653,1.47391,0.05149,0.05728,0.04879,0.04123,0.89849,3.89603,1.09042,0.000108735,0.000108735,0.000108735
2,15.9086,1.11245,3.71781,1.27437,0.03275,0.88465,0.15255,0.10994,0.873,3.05203,1.08446,0.000215384,0.000215384,0.000215384
3,22.1675,1.13292,3.11451,1.27676,0.49241,0.49353,0.36134,0.27387,0.87145,2.27538,1.08364,0.000317638,0.000317638,0.000317638
4,28.2788,1.12544,2.72723,1.27376,0.73109,0.44741,0.5499,0.41125,0.89839,1.79036,1.13526,0.00031322,0.00031322,0.00031322
5,34.4283,1.10216,2.43071,1.27723,0.62972,0.553,0.66171,0.50411,0.90697,1.59173,1.12335,0.000306626,0.000306626,0.000306626
6,40.7286,1.06541,2.26277,1.23485,0.62653,0.68384,0.73125,0.55857,0.88015,1.30991,1.10813,0.000300033,0.000300033,0.000300033
7,46.8311,1.01056,2.05527,1.20698,0.63221,0.73849,0.76216,0.59703,0.8247,1.1941,1.09328,0.00029344,0.00029344,0.00029344
8,52.9724,1.00489,1.97821,1.21539,0.7486,0.76917,0.82899,0.65516,0.8048,1.07294,1.06212,0.000286846,0.000286846,0.000286846
9,59.2283,0.97673,1.82247,1.18595,0.77209,0.72482,0.84122,0.66292,0.80933,1.02535,1.0513,0.000280253,0.000280253,0.000280253
10,65.6274,0.98074,1.81693,1.19028,0.76816,0.87505,0.87666,0.69565,0.79673,0.93306,1.06049,0.000273659,0.000273659,0.000273659
11,72.0223,0.93078,1.67685,1.16293,0.73338,0.88571,0.88069,0.70275,0.79976,0.96333,1.0874,0.000267066,0.000267066,0.000267066
12,78.4074,0.95859,1.73436,1.18059,0.78814,0.83866,0.91109,0.72266,0.80384,0.98345,1.08864,0.000260473,0.000260473,0.000260473
13,84.9337,0.94281,1.60653,1.1636,0.77858,0.89879,0.93318,0.76063,0.75709,0.84906,1.04647,0.000253879,0.000253879,0.000253879
14,91.3772,0.92773,1.53936,1.14844,0.84382,0.89606,0.94895,0.76632,0.77343,0.84353,1.07648,0.000247286,0.000247286,0.000247286
15,97.7148,0.92361,1.51937,1.16221,0.86888,0.91007,0.94652,0.7527,0.79703,0.76813,1.08453,0.000240692,0.000240692,0.000240692
16,104.075,0.90454,1.44084,1.14406,0.8812,0.88784,0.95291,0.77319,0.73612,0.75091,1.03806,0.000234099,0.000234099,0.000234099
17,110.232,0.90915,1.46021,1.15198,0.88491,0.91356,0.96932,0.79488,0.73825,0.71659,1.04585,0.000227506,0.000227506,0.000227506
18,116.457,0.87446,1.37266,1.12385,0.91573,0.89634,0.95904,0.78719,0.7732,0.72771,1.0445,0.000220912,0.000220912,0.000220912
19,122.567,0.8681,1.32616,1.11844,0.89619,0.92609,0.9796,0.80505,0.74681,0.70049,1.03701,0.000214319,0.000214319,0.000214319
20,128.667,0.87222,1.36498,1.11528,0.87353,0.91974,0.9634,0.79218,0.74174,0.67701,1.02867,0.000207725,0.000207725,0.000207725
21,135.047,0.83379,1.28782,1.10053,0.92345,0.87964,0.9754,0.79177,0.75083,0.67456,1.03853,0.000201132,0.000201132,0.000201132
22,141.357,0.82207,1.24697,1.08797,0.93381,0.91599,0.98759,0.80478,0.74841,0.64757,1.0395,0.000194539,0.000194539,0.000194539
23,147.599,0.87734,1.28888,1.13165,0.93447,0.90752,0.98857,0.81081,0.74152,0.62114,1.03757,0.000187945,0.000187945,0.000187945
24,153.787,0.8271,1.18289,1.10272,0.92131,0.93518,0.98461,0.8148,0.73352,0.6061,1.02548,0.000181352,0.000181352,0.000181352
25,159.892,0.79577,1.22346,1.07043,0.92216,0.93786,0.98454,0.80629,0.73025,0.62338,1.02566,0.000174758,0.000174758,0.000174758
26,166.053,0.817,1.1896,1.09892,0.90297,0.97123,0.98474,0.81627,0.71276,0.58607,1.02327,0.000168165,0.000168165,0.000168165
27,172.422,0.78909,1.11676,1.08272,0.94815,0.94337,0.9808,0.80692,0.72406,0.57412,1.0234,0.000161572,0.000161572,0.000161572
28,178.52,0.80756,1.12338,1.09703,0.92027,0.94417,0.97994,0.80265,0.72366,0.58312,1.0239,0.000154978,0.000154978,0.000154978
29,184.822,0.80408,1.11529,1.1037,0.94385,0.93296,0.98566,0.81817,0.71778,0.57672,1.01115,0.000148385,0.000148385,0.000148385
30,191.029,0.79047,1.14085,1.09947,0.93203,0.95393,0.98862,0.80964,0.7238,0.57698,1.00846,0.000141791,0.000141791,0.000141791
31,197.183,0.79789,1.13581,1.08508,0.93207,0.95238,0.98689,0.81758,0.7063,0.53948,1.00651,0.000135198,0.000135198,0.000135198
32,203.407,0.77108,1.0373,1.06705,0.95878,0.94476,0.98594,0.82285,0.69912,0.55394,1.00191,0.000128605,0.000128605,0.000128605
33,209.491,0.76752,1.05051,1.07904,0.95439,0.95856,0.98843,0.8177,0.70145,0.53161,1.00228,0.000122011,0.000122011,0.000122011
34,215.661,0.73177,1.07268,1.05264,0.94025,0.95314,0.98416,0.81486,0.70611,0.52634,1.0109,0.000115418,0.000115418,0.000115418
35,221.833,0.75659,1.0667,1.06805,0.94819,0.95847,0.98493,0.81308,0.7159,0.53728,1.01354,0.000108824,0.000108824,0.000108824
36,227.9,0.73756,1.01686,1.05608,0.93445,0.9523,0.97859,0.80758,0.70667,0.53576,1.0065,0.000102231,0.000102231,0.000102231
37,234.114,0.76005,1.00707,1.06104,0.95613,0.95072,0.98923,0.82061,0.69815,0.50867,1.00141,9.56376e-05,9.56376e-05,9.56376e-05
38,240.233,0.72544,1.06734,1.03716,0.94806,0.96064,0.98827,0.82128,0.6993,0.51431,0.9964,8.90442e-05,8.90442e-05,8.90442e-05
39,246.366,0.71041,0.9831,1.03677,0.94088,0.97106,0.9882,0.81607,0.71413,0.50798,1.01389,8.24508e-05,8.24508e-05,8.24508e-05
40,252.609,0.72192,1.01255,1.04216,0.93413,0.96708,0.98706,0.81918,0.70021,0.5053,1.00532,7.58574e-05,7.58574e-05,7.58574e-05
41,274.631,0.57419,0.82118,0.9551,0.95883,0.95579,0.98854,0.82366,0.70107,0.51192,0.99998,6.9264e-05,6.9264e-05,6.9264e-05
42,281.067,0.54652,0.79941,0.94701,0.95913,0.94029,0.98955,0.82272,0.69852,0.50446,0.99837,6.26706e-05,6.26706e-05,6.26706e-05
43,287.149,0.55387,0.76085,0.96113,0.9749,0.96819,0.98999,0.81929,0.71966,0.47893,1.0192,5.60772e-05,5.60772e-05,5.60772e-05
44,293.084,0.53182,0.7501,0.94428,0.95241,0.97328,0.9909,0.82544,0.70195,0.4798,1.00319,4.94838e-05,4.94838e-05,4.94838e-05
45,299.137,0.53889,0.71973,0.93309,0.94832,0.96595,0.99031,0.83127,0.68753,0.47686,0.99468,4.28904e-05,4.28904e-05,4.28904e-05
46,305.149,0.50196,0.71562,0.91121,0.97033,0.95785,0.99159,0.82617,0.6976,0.47221,1.00373,3.6297e-05,3.6297e-05,3.6297e-05
47,311.264,0.49022,0.71239,0.92131,0.96371,0.95948,0.99064,0.82432,0.69469,0.46371,0.99636,2.97036e-05,2.97036e-05,2.97036e-05
48,317.713,0.51142,0.7208,0.91781,0.96735,0.96029,0.99146,0.82272,0.70283,0.46484,0.99986,2.31102e-05,2.31102e-05,2.31102e-05
49,323.938,0.51331,0.69105,0.9167,0.96217,0.96196,0.99146,0.82033,0.70121,0.46524,0.99958,1.65168e-05,1.65168e-05,1.65168e-05
50,330.191,0.49115,0.67598,0.91156,0.95949,0.96382,0.99147,0.82565,0.69725,0.45804,0.99739,9.9234e-06,9.9234e-06,9.9234e-06
