epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.315,1.58496,7.48976,1.91185,0.51398,0.20895,0.15728,0.1111,1.08968,3.96875,1.65371,0.0766,0.0026,0.0026
2,35.6658,1.16481,3.16289,1.49624,0.44422,0.35028,0.31297,0.21932,1.2148,2.58847,1.68198,0.0522344,0.00523441,0.00523441
3,49.4394,1.11189,2.21932,1.40223,0.42223,0.56545,0.54351,0.40106,1.03182,2.22831,1.47301,0.027802,0.007802,0.007802
4,68.636,1.08753,1.91351,1.3571,0.48195,0.52324,0.56309,0.41165,1.12676,2.42408,1.54918,0.00962875,0.00962875,0.00962875
5,83.5195,1.11459,1.78229,1.37405,0.58179,0.4753,0.47147,0.33511,1.13427,3.4577,1.57701,0.009505,0.009505,0.009505
6,98.6439,1.10933,1.56032,1.34807,0.41599,0.3192,0.31748,0.20864,1.55798,3.14033,2.04249,0.00938125,0.00938125,0.00938125
7,114.154,1.13443,1.49093,1.36383,0.63909,0.62934,0.64386,0.45128,1.25542,1.84783,1.73506,0.0092575,0.0092575,0.0092575
8,134.179,1.09562,1.46836,1.34357,0.5693,0.73705,0.72834,0.49967,1.20724,1.76718,1.68913,0.00913375,0.00913375,0.00913375
9,150.264,1.08854,1.35389,1.31993,0.74987,0.65391,0.80325,0.58673,1.01617,1.21695,1.48308,0.00901,0.00901,0.00901
10,166.175,1.07959,1.32166,1.32417,0.74898,0.78853,0.85787,0.63926,0.98657,1.1386,1.44613,0.00888625,0.00888625,0.00888625
11,181.58,1.10695,1.33334,1.35205,0.58313,0.64094,0.658,0.44268,1.38758,1.78224,1.82868,0.0087625,0.0087625,0.0087625
12,196.289,1.04768,1.21853,1.29504,0.77772,0.74774,0.85719,0.62155,1.05339,1.26983,1.4686,0.00863875,0.00863875,0.00863875
13,210.152,1.03328,1.17572,1.27407,0.73062,0.72203,0.79614,0.5497,1.19039,1.51246,1.57585,0.008515,0.008515,0.008515
14,223.928,1.02241,1.13722,1.28282,0.6759,0.79654,0.87402,0.61823,1.1399,1.15904,1.53865,0.00839125,0.00839125,0.00839125
15,237.799,1.02065,1.13693,1.27766,0.84409,0.8311,0.89302,0.67938,0.95643,0.90307,1.37853,0.0082675,0.0082675,0.0082675
16,252.187,0.97933,1.02866,1.23688,0.86607,0.88357,0.94222,0.70167,0.96521,0.75961,1.36318,0.00814375,0.00814375,0.00814375
17,266.497,0.97719,0.9924,1.24183,0.85321,0.89017,0.94564,0.74126,0.88195,0.72746,1.28516,0.00802,0.00802,0.00802
18,280.651,0.98112,1.02292,1.24508,0.89579,0.88775,0.94673,0.75129,0.83343,0.66123,1.26033,0.00789625,0.00789625,0.00789625
19,294.777,0.94234,0.99131,1.21407,0.8953,0.8631,0.95126,0.75177,0.88302,0.68877,1.29793,0.0077725,0.0077725,0.0077725
20,308.514,0.94332,0.95079,1.21587,0.87472,0.87446,0.93951,0.73914,0.87231,0.74608,1.2933,0.00764875,0.00764875,0.00764875
21,322.164,0.94016,0.96845,1.22931,0.87378,0.88604,0.94301,0.72712,0.92161,0.7371,1.33538,0.007525,0.007525,0.007525
22,335.903,0.87917,0.89199,1.17078,0.8167,0.88211,0.93351,0.72296,0.92,0.82776,1.33526,0.00740125,0.00740125,0.00740125
